Hour,Temperature,Energy
4795,23.89925908651805,2000
4796,22.724201660998666,2000
4797,23.246804230972756,2000
4798,22.76868436912689,2000
4799,22.47280817710481,2000
4800,22.282625479087116,2000
4801,22.412810592997225,2000
4802,22.32959165978216,2000
4803,22.219130841609417,2000
4804,22.10304042243552,2000
4805,22.013385449091917,2000
4806,22.153650744370083,2000
4807,22.597883416590214,2000
4808,23.290701244861765,2000
4809,24.002939527947113,2000
4810,24.661441891001843,2000
4811,25.24378714515748,2000
4812,25.700667463252348,2000
4813,25.996353130291496,2000
4814,26.21710064094661,2000
4815,26.415729106353773,2000
4816,26.508003075412105,2000
4817,26.191614741824672,2000
4818,25.621354186119156,2000
4819,24.787188139221183,2000
4820,24.001809310000276,2000
4821,23.368618796536865,2000
4822,22.839932679756238,2000
4823,22.428133614658936,2000
4824,22.128903649232868,2000
4825,21.875511876257146,2000
4826,21.66644342432813,2000
4827,21.47907587735986,1000
4828,21.3018504920427,1000
4829,21.23730004843982,1000
4830,21.456255977980447,1000
4831,21.98338178006587,2000
4832,22.638304195699906,2000
4833,23.32014682602474,2000
4834,24.003653606115968,2000
4835,24.50924170811763,2000
4836,25.05321188329988,2000
4837,25.442562456332357,2000
4838,25.638854611713132,2000
4839,25.5474725088147,2000
4840,25.1938493816282,2000
4841,24.46280830011548,2000
4842,23.917618948934113,2000
4843,23.552249847701265,2000
4844,23.0522031678638,2000
4845,22.6779127410522,2000
4846,22.401097885022214,2000
4847,22.2024790375234,2000
4848,21.95508389067983,2000
4849,21.43081038641512,1000
4850,21.15913266926301,1000
4851,20.972945738157303,1000
4852,20.84068925335262,1000
4853,20.749250081628613,1000
4854,20.97282662116008,1000
4855,22.20060667823952,2000
4856,22.199279500222623,2000
4857,23.89459958478101,2000
4858,23.89801893104451,2000
4859,23.898163617126492,2000
4860,23.898508370523984,2000
4861,23.899159784763988,2000
4862,23.898716668872968,2000
4863,23.89830244851255,2000
4864,23.89838936715486,2000
4865,23.898481985177433,2000
4866,23.898535542279607,2000
4867,23.838702719185413,2000
4868,22.566819640972426,2000
4869,23.05624689798696,2000
4870,22.52039106029173,2000
4871,22.116929054309352,2000
4872,21.73955132230559,2000
4873,21.437387910598773,1000
4874,21.161940748796503,1000
4875,20.960839962654063,1000
4876,20.785990391550897,1000
4877,20.694777706833342,1000
4878,20.882975156249408,1000
4879,22.201201297082775,2000
4880,22.19996031681041,2000
4881,23.8945273068578,2000
4882,23.898072155327984,2000
4883,23.898124274074625,2000
4884,23.898517437883083,2000
4885,23.899190036296773,2000
4886,23.898707467757614,2000
4887,23.898394268907424,2000
4888,23.898333653144853,2000
4889,23.89846874558439,2000
4890,23.89852919251338,2000
4891,23.899240226494296,2000
4892,22.680684541320108,2000
4893,23.191490673100787,2000
4894,22.74494587738106,2000
4895,22.436276635528415,2000
4896,22.150194275849906,2000
4897,21.913098977304557,2000
4898,21.742975850601233,2000
4899,21.583330119722834,2000
4900,21.500138922872548,2000
4901,21.471729783551616,1000
4902,21.623348877212006,2000
4903,22.20030447366536,2000
4904,22.19940719198075,2000
4905,23.898910002170616,2000
4906,23.898096988472073,2000
4907,23.898127537460827,2000
4908,23.89849447154362,2000
4909,23.899163633131487,2000
4910,23.898679785856515,2000
4911,23.898328947692583,2000
4912,23.898347192562735,2000
4913,23.89843943026893,2000
4914,23.898492917668193,2000
4915,23.899323805664185,2000
4916,22.88406419675262,2000
4917,23.49192750693466,2000
4918,23.149003184558378,2000
4919,22.86850391233103,2000
4920,22.67046128237638,2000
4921,22.438156740032184,2000
4922,22.300423710874043,2000
4923,22.062281808047217,2000
4924,21.884577541430808,2000
4925,21.71137027678005,2000
4926,21.617499489181554,2000
4927,22.20078276238189,2000
4928,22.20134276436373,2000
4929,23.609757601058547,2000
4930,23.898235488816848,2000
4931,23.898092925351136,2000
4932,23.89841441965054,2000
4933,23.899072556716472,2000
4934,23.898643489768308,2000
4935,23.89830159922598,2000
4936,23.898296450962405,2000
4937,23.89843217764462,2000
4938,23.898541552350505,2000
4939,23.762648236570886,2000
4940,22.347135469721522,2000
4941,22.74945780685814,2000
4942,22.23870579929217,2000
4943,21.855736461443144,2000
4944,21.54712095723183,2000
4945,21.327838938996006,1000
4946,21.134246734500955,1000
4947,20.928866595869252,1000
4948,20.810770799702343,1000
4949,20.767162104462628,1000
4950,21.019064553198806,1000
4951,22.200689037515392,2000
4952,22.201103435372847,2000
4953,23.66097184436913,2000
4954,23.898054309546797,2000
4955,23.89809225509977,2000
4956,23.89849543246595,2000
4957,23.89912579626518,2000
4958,23.898679424650044,2000
4959,23.898345908114518,2000
4960,23.898393674323252,2000
4961,23.89847583324697,2000
4962,23.898467961406116,2000
4963,23.801458073044277,2000
4964,22.38877766257018,2000
4965,22.803663025118656,2000
4966,22.28846072598694,2000
4967,21.859008660814304,2000
4968,21.553229190876124,2000
4969,21.63709823356073,2000
4970,21.462956921053266,1000
4971,21.321109165333326,1000
4972,21.245426200685174,1000
4973,21.13172643914972,1000
4974,21.413014830928155,1000
4975,22.045014017619415,2000
4976,22.835268834950988,2000
4977,23.635637762637742,2000
4978,24.362396045188994,2000
4979,24.979571630562283,2000
4980,25.510033457965825,2000
4981,25.93234033852353,2000
4982,26.284263743902837,2000
4983,26.569457615617516,2000
4984,26.742470079168054,2000
4985,26.555359379139006,2000
4986,26.101799195335776,2000
4987,25.348689761728266,2000
4988,24.58172250248645,2000
4989,24.045590602111865,2000
4990,23.640186031064562,2000
4991,23.325991521424694,2000
4992,23.055623221410567,2000
4993,22.511976665705404,2000
4994,22.09545822271736,2000
4995,21.830009497028573,2000
4996,21.651943979902068,2000
4997,21.551642338429634,2000
4998,21.619811523944406,2000
4999,22.095392280223308,2000
5000,22.68471712103435,2000
5001,23.148644898981033,2000
5002,23.726049182368868,2000
5003,24.357736724695737,2000
5004,25.090207519973635,2000
5005,25.493502455694742,2000
5006,25.635139894184654,2000
5007,25.870213107936266,2000
5008,25.854035798081906,2000
5009,25.681898878751262,2000
5010,25.235022414161037,2000
